time,mpu_az,adxl_ay,baro_press,baro_temp,altitudeMSL
1557212,10.0992574691772,-9.61051750183106,949.924621582031,33.1422119140625,619.326
1557239,10.1088342666626,-11.532621383667,949.924621582031,33.1422119140625,619.326
1557267,10.1136236190796,-11.052095413208,949.967834472656,33.1443061828613,619.326
1557295,10.1040458679199,-11.532621383667,949.967834472656,33.1443061828613,619.326
1557322,10.0992574691772,-10.571569442749,949.923278808594,33.1426048278809,619.326
1557350,10.0992574691772,-10.571569442749,949.923278808594,33.1426048278809,619.326
1557377,10.1040458679199,-10.09104347229,949.96337890625,33.1460075378418,619.326
1557405,10.1040458679199,-9.12999153137207,949.96337890625,33.1460075378418,619.326
1557433,10.1184120178223,-10.09104347229,949.921813964844,33.1395950317383,619.326
1557461,10.1136236190796,-10.571569442749,949.921813964844,33.1395950317383,619.326
1557488,10.0992574691772,-10.571569442749,949.964660644531,33.1469230651855,619.326
1557516,10.1040458679199,-11.052095413208,949.964660644531,33.1469230651855,619.326
1557543,10.1184120178223,-10.09104347229,949.905883789062,33.1462707519531,619.326
1557574,10.1088342666626,-10.571569442749,949.905883789062,33.1462707519531,619.326
1557601,10.1040458679199,-11.532621383667,949.963989257813,33.1431922912598,619.326
1557629,10.0992574691772,-10.571569442749,949.963989257813,33.1431922912598,619.326
1557656,10.0944690704346,-11.052095413208,949.971801757813,33.1447639465332,619.326
1557684,10.0992574691772,-11.052095413208,949.971801757813,33.1447639465332,619.326
1557712,10.0992574691772,-11.052095413208,949.938842773438,33.1496086120605,619.326
1557739,10.0992574691772,-10.571569442749,949.938842773438,33.1496086120605,619.326
1557767,10.1136236190796,-10.09104347229,949.953735351563,33.1433868408203,619.326
1557795,10.1040458679199,-11.052095413208,949.953735351563,33.1433868408203,619.326
1557827,10.1088342666626,-10.571569442749,949.969909667969,33.1388092041016,619.326
1557855,10.1136236190796,-10.09104347229,949.969909667969,33.1388092041016,619.305
1557882,10.0944690704346,-11.052095413208,949.961486816406,33.1429328918457,619.305
1557910,10.1184120178223,-11.052095413208,949.961486816406,33.1429328918457,619.305
1557938,10.1040458679199,-11.052095413208,949.945251464844,33.1420783996582,619.305
1557965,10.1136236190796,-11.052095413208,949.945251464844,33.1420783996582,619.305
1557993,10.1088342666626,-10.09104347229,949.90625,33.1437835693359,619.305
1558023,10.1040458679199,-10.571569442749,949.90625,33.1437835693359,619.305
1558051,10.1040458679199,-10.09104347229,949.965881347656,33.1407051086426,619.305
1558078,10.1040458679199,-10.571569442749,949.965881347656,33.1407051086426,619.305
1558106,10.0992574691772,-9.61051750183106,949.923461914062,33.1434555053711,619.305
1558134,10.1088342666626,-10.571569442749,949.923461914062,33.1434555053711,619.305
1558162,10.0944690704346,-10.571569442749,949.934204101563,33.1430625915527,619.305
1558190,10.1136236190796,-10.571569442749,949.934204101563,33.1430625915527,619.305
1558217,10.1184120178223,-10.571569442749,949.948974609375,33.1462707519531,619.305
1558245,10.1136236190796,-11.052095413208,949.948974609375,33.1462707519531,619.305
